,Kingdom,Phylum,Class,Order,Family,Confidence
ASV9363,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,0.67
ASV9365,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9367,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,1
ASV9368,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,1
ASV9373,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV9376,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV9379,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,0.67
ASV9383,Bacteria,Proteobacteria,Betaproteobacteria,Procabacteriales,Procabacteriaceae,1
ASV9385,Bacteria,Gemmatimonadetes,Gemmatimonadetes,NA,NA,1
ASV9387,Bacteria,TM6,SJA-4,NA,NA,1
ASV9388,Bacteria,Acidobacteria,iii1-8,32-20,NA,1
ASV9390,Bacteria,Proteobacteria,TA18,PHOS-HD29,NA,1
ASV9391,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,0.67
ASV9397,Bacteria,Planctomycetes,vadinHA49,DH61,NA,1
ASV9401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,1
ASV9405,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,1
ASV9406,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,NA,1
ASV9409,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV9411,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV9414,Bacteria,Planctomycetes,028H05-P-BN-P5,NA,NA,1
ASV9417,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin517,0.67
ASV9419,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,0.67
